"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.345018750E-1,1.810090390E0,1.584801410E0,1.053258955E-2,2.405854040E0
6.444818750E-1,8.539022309E-1,9.302770268E-1,6.209713787E-1,1.407185069E0
6.544618750E-1,2.563016981E-1,2.132527788E-1,1.713901938E0,1.746031833E0
6.644418750E-1,-7.951171752E-2,-3.399478356E-1,2.860390654E0,2.881617834E0
6.744218750E-1,-6.951987116E-1,-3.051484971E-1,3.289370461E0,3.375851727E0
6.844028750E-1,-1.214950767E0,4.366187556E-1,2.685329695E0,2.979553134E0
6.943828750E-1,-8.503507783E-1,1.378036702E0,1.870131354E0,2.473756835E0
7.043628750E-1,-4.430168886E-1,2.164978081E0,1.319030694E0,2.573564848E0
7.143428750E-1,-9.337989510E-1,2.454305035E0,9.697209549E-1,2.799277124E0
7.243238750E-1,-1.074527472E0,2.539436402E0,1.028070905E0,2.942834741E0
7.343038750E-1,-7.075555594E-1,2.286225944E0,2.065624824E0,3.161371514E0
7.442838750E-1,-3.245133424E-1,1.305677554E0,3.660288001E0,3.899719354E0
7.542638750E-1,-1.572940845E-1,-9.410366345E-2,4.944792641E0,4.948188678E0
7.642438750E-1,-9.441212600E-1,-1.365252642E0,4.905288268E0,5.178526115E0
7.742248750E-1,-6.510528181E-1,-2.436971988E0,5.474315906E0,6.027506689E0
7.842048750E-1,-2.507820727E-1,-3.045003625E0,5.183243265E0,6.016722485E0
7.941848750E-1,-5.002687678E-1,-3.224859885E0,4.240501948E0,5.350873470E0
8.041648750E-1,-6.735662795E-1,-2.682070165E0,3.036220522E0,4.106802523E0
8.141448750E-1,-2.034685232E-1,-1.819580128E0,1.375693722E0,2.290153816E0
8.241258750E-1,2.436479214E-1,-9.761716032E-1,-3.490583092E-1,1.064949300E0
8.341058750E-1,3.141881828E-1,-3.159477197E-1,-1.441922210E0,1.509197415E0
8.440858750E-1,7.303073678E-2,-5.812888842E-2,-1.924617464E0,1.926879560E0
8.540658750E-1,-3.318268570E-1,-6.581315305E-2,-1.932160957E0,1.961552038E0
8.640458750E-1,-5.931419212E-1,-7.266941540E-2,-1.700316517E0,1.802269248E0
8.740268750E-1,-6.379712811E-1,-1.497100996E-1,-1.481433016E0,1.619896370E0
8.840068750E-1,-5.905877478E-1,-3.741811636E-1,-1.348009495E0,1.518530550E0
8.939868750E-1,-6.122448844E-1,-7.101159820E-1,-1.102284935E0,1.447114572E0
9.039668750E-1,-4.805021822E-1,-1.080829966E0,-6.940048563E-1,1.371392906E0
9.139478750E-1,-3.142303559E-1,-1.283573471E0,-5.139819503E-1,1.417913614E0
9.239278750E-1,-3.616800358E-1,-1.199841343E0,-6.724613750E-1,1.422194079E0
9.339078750E-1,-4.435208090E-1,-9.554655162E-1,-8.303549087E-1,1.341310678E0
9.438878750E-1,-5.269175993E-1,-6.630005801E-1,-1.181260938E0,1.453474915E0
9.538678750E-1,-5.091941770E-1,-2.978134574E-1,-1.924050284E0,2.012446536E0
9.638488750E-1,-3.905229619E-1,1.192522730E-1,-2.658969862E0,2.690139405E0
9.738288750E-1,-5.956351740E-1,3.846960288E-1,-2.987410889E0,3.070406507E0
